"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","SauceDemo E2E","0","Shopping Flow","6","0","Login","0"
"0","SauceDemo E2E","0","Shopping Flow","3","0","Checkout","0"
